ThumbPrint,cnt_benign,cnt_malware,score
F0CA270347F8E2D6D21F4F249BB6FA82AB6F83E3,68.0,122.0,0.5573770491803278
672C7E09D7971FEFF924CB9BB9DF501B068699D2,134.0,105.0,1.276190476190476
2567A99F17B580AABE2846936E4CDE5D77D74115,2.0,23.0,0.08695652173913043
61ED377E85D386A8DFEE6B864BD85B0BFAA5AF81,123.0,824.0,0.14927184466019416
0C6F6BB008DE7BF449587AE869E463A14137944A,1.0,0.0,inf
AFE061837B2BD2B7F761D3F74B78EA56926BDB58,1.0,0.0,inf
56314CE10ABC5FAA4389D91BC4FB450621CFD665,1.0,0.0,inf
B7FE52F63310C533EFA4E0967FA17DAB0FFA84D6,1.0,0.0,inf
F533F7FDE1350A2F259176CF079230782A873E44,1.0,0.0,inf
4EBB6AD000E311895CAC04E203D37A8D60C3431E,1.0,0.0,inf
12B91A5CD3D72CC321BD51931937D318555A182D,13.0,0.0,inf
2A7E059CE2E13312412BAD42C3F926FA3D2C44EB,1.0,0.0,inf
95A4C5D185B8D428FDDDA86A589A8F89088F42D7,1.0,0.0,inf
73F7960E487E69ACCE5665890B69F2667A51695D,1.0,0.0,inf
C9D32CBEBBB6A34D88DE34A9D05F4CFC2856FB3F,1.0,0.0,inf
94C9774BC9DA86A75FADDCCF026714CA11352DA5,15.0,0.0,inf
0D8A30FF327D433708481BC90797C52E9DDDC30E,1.0,0.0,inf
289EFC9AEEA313DA29FEE3C3B803C92DD2EA1406,1.0,0.0,inf
1BCB49DFEBCC934329D5FE8DA5D5B0F01BD6F688,1.0,0.0,inf
DE733E4A656017C9272BBA97A63430BA9A51A937,1.0,0.0,inf
998BE049ADB0EDC6689A3C41D5AD700FA6CF110B,1.0,0.0,inf
AA54E5621DC3E89B380C761DDEBC09F782EA6B43,1.0,0.0,inf
307CC6F4712F9C949350944695ACC8017205807F,1.0,0.0,inf
FB4FDE06FF7906C2AB935F4013C70E477217DB95,1.0,0.0,inf
0C59599A547B0E51E68FC4F077287F078830B26E,1.0,0.0,inf
B085CF510973FFED7831B52FF834C88ABA48CA76,1.0,0.0,inf
FE3EF6F733C00B447E55E7B4D22471C8C92233CB,1.0,0.0,inf
90654184069F8BD5CFC1864A1A9E73D9CA1C1BD9,1.0,0.0,inf
B8CBF10E66B86F0EDFFE65CA34427CD0E434F41A,1.0,0.0,inf
8C2587BBE5666555BF263A702BF6AA27B6CCE923,1.0,0.0,inf
5F0139362DF3674B4E3AC4810F221C0B402098AB,1.0,0.0,inf
2D3B3FC561FD16548C0D60D49337D197B557AFF9,1.0,0.0,inf
A8BFB664B7DCB8AC3C5508A72840D88DB7411B27,1.0,0.0,inf
52B7F4FAA4A433E03CBF1299DD583E34A4869AC6,1.0,0.0,inf
A72C8C4990C88DC8E81474569A95B3B044F8F210,1.0,0.0,inf
54172809CF315D621469D395A2A5A618D156FEE9,1.0,0.0,inf
D71C0A1F608387FE0F87EECD7E1435FB5914EAB5,1.0,0.0,inf
F4F342CE316FDECAA24980B04358FECC3D0DADE5,1.0,0.0,inf
76BCC1C9870C56AF1147C9E39A4C97B32FDF9D66,1.0,0.0,inf
AADDB054FAA4386BE64BF2A52E5F4B5FF7E444C6,1.0,0.0,inf
8EB7F95391F04541C2CCA51BFE39F806B3897F65,1.0,0.0,inf
1AB6DE9E2E6DCE6BB5699F08589268FB01464274,1.0,0.0,inf
6D2133DCFA53E76679979B1DC86B1BFF716FD73D,1.0,0.0,inf
648A22FCFF6C5F40E05725C33CA6250BA8ECB661,1.0,0.0,inf
69D55940932BA3A535BF6884FDBEC6B0FC0B49E6,1.0,0.0,inf
