SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature,author_x,author_y
3DA3036740C7B89BAC8A9505AD09961D05F19663AE1598B4B316AB812AB0B854,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B0:C5:37:03:53:74:5B:22:3A:49:7C:E3:91:D5:02:85:89:4B:73:60,B0:C5:37:03:53:74:5B:22:3A:49:7C:E3:91:D5:02:85:89:4B:73:60
3DB13283506448A348811EC3E873E68D6592839D5FA68AFB880DF067C73F51F1,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D7:EC:2B:E3:0D:06:47:59:65:62:29:C4:FE:A1:20:53:90:1F:68:BC,D7:EC:2B:E3:0D:06:47:59:65:62:29:C4:FE:A1:20:53:90:1F:68:BC
3DCCC2356E43A61EBB84026EE6405321B9DBC2621CB419A7915412688EC49B66,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68:59:2F:69:E7:82:7A:64:EC:CC:DD:5A:C5:AB:BF:11:39:49:25:EC,68:59:2F:69:E7:82:7A:64:EC:CC:DD:5A:C5:AB:BF:11:39:49:25:EC
3DEE3822A673FE7964DE8E9A716A997D3E4D436F9A493D2731C342BE32EE72CE,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81,61:ED:37:7E:85:D3:86:A8:DF:EE:6B:86:4B:D8:5B:0B:FA:A5:AF:81
3DF73131AC49D239D6255DD8CE42FD7CBBEA3A31E9FBDDCCD1EE74787784645B,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F8:0D:74:3C:18:92:F0:4B:88:BD:32:06:D0:F4:F2:FA:F1:5B:8A:E2,F8:0D:74:3C:18:92:F0:4B:88:BD:32:06:D0:F4:F2:FA:F1:5B:8A:E2
3DF9C1AC995C4EB38B8510C82BBB82F130CF255E024A1D7852B1DAD368003540,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34:0B:B5:1C:29:E9:D6:A6:EC:2C:89:57:B1:96:80:C4:2B:09:43:0A,34:0B:B5:1C:29:E9:D6:A6:EC:2C:89:57:B1:96:80:C4:2B:09:43:0A
3DFC60C9BF67A1EB2B5DBF5DE3D719542AB66F10B8922AB8B16DE94C1C3F2ED7,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4:D9:48:8B:01:C5:35:7B:FE:04:94:A6:4B:E3:D4:E3:85:8E:21:E8,C4:D9:48:8B:01:C5:35:7B:FE:04:94:A6:4B:E3:D4:E3:85:8E:21:E8
3E10931085AFFF8B125B312CC566EE1EAE8BBDD0C70843BEF6632F1A82666357,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DC:8E:CE:DB:31:BE:47:D9:12:36:C5:9B:0A:AF:7E:8B:49:2C:53:40,DC:8E:CE:DB:31:BE:47:D9:12:36:C5:9B:0A:AF:7E:8B:49:2C:53:40
3E2CCE24864724DD3A0DEA5B4BC7E6C78A711B7E4AAD74035920EE303E4012B9,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F0:CA:27:03:47:F8:E2:D6:D2:1F:4F:24:9B:B6:FA:82:AB:6F:83:E3,F0:CA:27:03:47:F8:E2:D6:D2:1F:4F:24:9B:B6:FA:82:AB:6F:83:E3
3E45B0C333B49496E9D477013B450E9AB6DD812E91306B61394C3C9665BE4E4C,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22:95:97:1B:A8:EA:41:10:F1:F9:F8:86:97:DF:0C:23:61:BE:B0:DA,22:95:97:1B:A8:EA:41:10:F1:F9:F8:86:97:DF:0C:23:61:BE:B0:DA
